Company,Ticker,Sector,Cap Category,Period,Result Date,"Movement Label (1,0)",value,z,z_robust
Glenmark,GLENMARK,Pharma,Small,Dec 2023,2024-02-14,1.0,-8.32,-4.382048461974834,-4.77546
ITC,ITC,FMCG,Large,Jun 2023,2023-08-14,0.0,39.0,2.8161649278746133,3.203875
ITC,ITC,FMCG,Large,Dec 2022,2023-02-03,0.0,38.0,2.664047147024033,3.03525
ITC,ITC,FMCG,Large,Mar 2023,2023-05-18,1.0,38.0,2.664047147024033,3.03525
Divis Labs,DIVISLAB,Pharma,Small,Jun 2022,2022-08-12,0.0,38.0,2.664047147024033,3.03525
ITC,ITC,FMCG,Large,Sep 2022,2022-10-20,0.0,37.0,2.511929366173453,2.866625
ITC,ITC,FMCG,Large,Mar 2024,2024-05-23,0.0,37.0,2.511929366173453,2.866625
ITC,ITC,FMCG,Large,Jun 2024,2024-08-01,0.0,37.0,2.511929366173453,2.866625
Tata Motors,TATAMOTORS,Auto,Large,Jun 2022,2022-07-27,1.0,3.0,-2.6600751827462674,-2.866625
