Sector,Model,Accuracy,Precision,Recall,F1_Score,AUC,Train_Size,Test_Size,Features
Pharma,LogisticRegression,0.6111111111111112,0.5454545454545454,0.4,0.46153846153846156,0.6000000000000001,81,36,11
Pharma,RandomForest,0.5277777777777778,0.42857142857142855,0.4,0.41379310344827586,0.5079365079365079,81,36,11
Pharma,XGBoost,0.5,0.4,0.4,0.4,0.5587301587301587,81,36,11
IT_Technology,LogisticRegression,0.6666666666666666,0.6111111111111112,0.6875,0.6470588235294118,0.7281249999999999,81,36,11
IT_Technology,RandomForest,0.6111111111111112,0.5625,0.5625,0.5625,0.634375,81,36,11
IT_Technology,XGBoost,0.6388888888888888,0.5789473684210527,0.6875,0.6285714285714286,0.590625,81,36,11
Auto,LogisticRegression,0.42857142857142855,0.42105263157894735,0.47058823529411764,0.4444444444444444,0.4444444444444444,81,35,11
Auto,RandomForest,0.42857142857142855,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4183006535947712,81,35,11
Auto,XGBoost,0.4857142857142857,0.47368421052631576,0.5294117647058824,0.5,0.4281045751633987,81,35,11
BFSI,LogisticRegression,0.6666666666666666,0.0,0.0,0.0,0.5,81,36,8
BFSI,RandomForest,0.6388888888888888,0.42857142857142855,0.25,0.3157894736842105,0.5763888888888888,81,36,8
BFSI,XGBoost,0.6388888888888888,0.4,0.16666666666666666,0.23529411764705882,0.5538194444444444,81,36,8
FMCG,LogisticRegression,0.5833333333333334,0.4375,0.5384615384615384,0.4827586206896552,0.5785953177257526,81,36,11
FMCG,RandomForest,0.5555555555555556,0.36363636363636365,0.3076923076923077,0.3333333333333333,0.5635451505016722,81,36,11
FMCG,XGBoost,0.5277777777777778,0.375,0.46153846153846156,0.41379310344827586,0.5719063545150502,81,36,11
