FiscalQ,n,mean,median,std
Q1 (Apr–Jun),177,-0.10062146892655369,-0.22,4.134005893224909
Q2 (Jul–Sep),135,-0.12696296296296297,-0.12,3.7018190917669465
Q3 (Oct–Dec),135,0.5814814814814815,0.62,4.563068082567589
Q4 (Jan–Mar),137,0.9335036496350365,0.53,4.63297033281738
